resource,Representation,NullEmpty,Ordering,CustomizeDiff,NestedBlock
google_compute_firewall_policy_rule,7,0,0,1,33
google_compute_firewall_policy_with_rules,0,0,0,0,101
google_compute_forwarding_rule,9,0,1,3,6
google_compute_future_reservation,0,0,0,1,82
google_compute_global_address,1,2,0,2,3
google_compute_global_forwarding_rule,6,0,0,2,8
google_compute_global_network_endpoint,1,0,0,1,0
google_compute_global_network_endpoint_group,0,0,0,1,0
google_compute_ha_vpn_gateway,4,0,0,2,4
google_compute_health_check,7,0,0,2,9
google_compute_http_health_check,0,0,0,1,0
google_compute_https_health_check,0,0,0,1,0
google_compute_image,25,0,0,2,20
google_compute_image_iam_binding,0,0,1,0,2
google_compute_image_iam_member,1,0,0,0,1
google_compute_image_iam_policy,1,0,0,0,0
google_compute_instance,55,3,6,7,63
google_compute_instance_from_machine_image,0,0,0,0,0
google_compute_instance_from_template,0,0,0,0,0
google_compute_instance_group,1,0,1,2,2
google_compute_instance_group_manager,6,2,5,3,31
google_compute_instance_group_membership,3,0,0,1,0
google_compute_instance_group_named_port,2,0,0,2,0
google_compute_instance_iam_binding,0,0,1,0,2
google_compute_instance_iam_member,1,0,0,0,1
google_compute_instance_iam_policy,1,0,0,0,0
google_compute_instance_settings,1,0,0,1,3
google_compute_instance_template,17,3,12,5,60
google_compute_instance_template_iam_binding,0,0,1,0,2
google_compute_instance_template_iam_member,1,0,0,0,1
google_compute_instance_template_iam_policy,1,0,0,0,0
google_compute_instant_snapshot,2,0,0,2,3
google_compute_instant_snapshot_iam_binding,0,0,1,0,2
google_compute_instant_snapshot_iam_member,1,0,0,0,1
google_compute_instant_snapshot_iam_policy,1,0,0,0,0
google_compute_interconnect,2,0,1,2,25
google_compute_interconnect_attachment,3,0,0,2,6
google_compute_interconnect_attachment_group,0,0,0,1,45
google_compute_interconnect_group,0,0,0,1,39
google_compute_machine_image,3,0,0,1,2
google_compute_machine_image_iam_binding,0,0,1,0,2
google_compute_machine_image_iam_member,1,0,0,0,1
google_compute_machine_image_iam_policy,1,0,0,0,0
google_compute_managed_ssl_certificate,2,0,0,1,4
google_compute_network,1,0,0,1,3
google_compute_network_attachment,1,0,0,1,4
google_compute_network_edge_security_service,1,0,0,1,0
google_compute_network_endpoint,3,0,0,2,0
google_compute_network_endpoint_group,3,0,0,2,0
google_compute_network_endpoints,4,0,0,2,1
google_compute_network_firewall_policy,0,0,0,1,0
google_compute_network_firewall_policy_association,2,0,0,1,0
google_compute_network_firewall_policy_packet_mirroring_rule,1,0,0,1,11
google_compute_network_firewall_policy_rule,7,0,0,1,32
google_compute_network_firewall_policy_with_rules,0,0,0,1,97
google_compute_network_peering,2,0,0,0,0
google_compute_network_peering_routes_config,1,0,0,1,0
google_compute_node_group,2,0,0,1,5
google_compute_node_template,1,0,0,1,5
google_compute_organization_security_policy,0,0,0,0,0
google_compute_organization_security_policy_association,0,0,0,0,0
google_compute_organization_security_policy_rule,0,0,0,0,18
google_compute_packet_mirroring,10,0,4,1,14
google_compute_per_instance_config,10,0,0,2,15
google_compute_preview_feature,0,0,0,1,3
google_compute_project_cloud_armor_tier,0,0,0,1,0
google_compute_project_default_network_tier,0,0,0,1,0
google_compute_project_metadata,0,0,0,1,1
google_compute_project_metadata_item,0,0,0,1,0
google_compute_public_advertised_prefix,0,0,0,1,0
google_compute_public_delegated_prefix,1,0,0,1,1
google_compute_region_autoscaler,2,0,0,2,19
google_compute_region_backend_service,10,0,8,2,55
google_compute_region_backend_service_iam_binding,0,0,1,0,2
google_compute_region_backend_service_iam_member,1,0,0,0,1
google_compute_region_backend_service_iam_policy,1,0,0,0,0
google_compute_region_commitment,1,0,0,1,2
google_compute_region_disk,7,0,0,3,10
google_compute_region_disk_iam_binding,0,0,1,0,2
google_compute_region_disk_iam_member,1,0,0,0,1
google_compute_region_disk_iam_policy,1,0,0,0,0
google_compute_region_disk_resource_policy_attachment,2,0,0,1,0
google_compute_region_health_check,8,0,0,2,8
google_compute_region_instance_group_manager,4,4,6,2,37
google_compute_region_instance_template,15,3,12,6,60
google_compute_region_network_endpoint,3,0,0,2,0
google_compute_region_network_endpoint_group,3,0,0,1,5
google_compute_region_network_firewall_policy,0,0,0,1,0
google_compute_region_network_firewall_policy_association,2,0,0,1,0
google_compute_region_network_firewall_policy_rule,6,0,0,2,32
google_compute_region_network_firewall_policy_with_rules,0,0,0,1,97
google_compute_region_per_instance_config,10,0,0,2,15
google_compute_region_resize_request,2,0,0,1,108
google_compute_region_security_policy,2,0,5,1,89
google_compute_region_security_policy_rule,0,0,0,1,53
google_compute_region_ssl_certificate,2,0,0,1,0
google_compute_region_ssl_policy,1,0,2,2,2
google_compute_region_target_http_proxy,2,0,0,1,0
google_compute_region_target_https_proxy,5,0,0,1,2
google_compute_region_target_tcp_proxy,2,0,0,1,0
google_compute_region_url_map,46,0,5,1,466
google_compute_reservation,1,0,0,1,16
google_compute_resize_request,2,0,0,1,108
google_compute_resource_policy,9,0,3,2,34
google_compute_resource_policy_attachment,2,0,0,2,0
google_compute_route,5,0,1,1,10
google_compute_router,3,0,0,2,9
google_compute_router_interface,3,0,0,2,0
google_compute_router_nat,6,0,21,2,26
google_compute_router_nat_address,3,0,1,2,2
google_compute_router_peer,5,0,0,1,7
google_compute_router_route_policy,2,0,0,1,5
google_compute_security_policy,0,0,0,3,100
google_compute_security_policy_rule,0,0,0,1,52
google_compute_service_attachment,4,0,1,2,7
google_compute_shared_vpc_host_project,0,0,0,0,0
google_compute_shared_vpc_service_project,0,0,0,1,0
google_compute_snapshot,2,0,0,2,7
google_compute_snapshot_iam_binding,0,0,1,0,2
google_compute_snapshot_iam_member,1,0,0,0,1
google_compute_snapshot_iam_policy,1,0,0,0,0
google_compute_snapshot_settings,0,0,0,1,3
google_compute_ssl_certificate,1,0,0,1,0
google_compute_ssl_policy,0,0,2,2,2
google_compute_storage_pool,2,0,0,2,5
google_compute_storage_pool_iam_binding,0,0,1,0,2
google_compute_storage_pool_iam_member,1,0,0,0,1
google_compute_storage_pool_iam_policy,1,0,0,0,0
google_compute_subnetwork,5,0,2,4,7
google_compute_subnetwork_iam_binding,0,0,1,0,2
google_compute_subnetwork_iam_member,1,0,0,0,1
google_compute_subnetwork_iam_policy,1,0,0,0,0
google_compute_target_grpc_proxy,1,0,0,1,0
google_compute_target_http_proxy,1,0,0,1,0
google_compute_target_https_proxy,4,0,0,1,2
google_compute_target_instance,2,0,0,1,0
google_compute_target_pool,0,0,1,2,2
google_compute_target_ssl_proxy,2,0,0,1,1
google_compute_target_tcp_proxy,1,0,0,1,0
google_compute_url_map,58,0,5,1,523
google_compute_vpn_gateway,2,0,0,1,0
google_compute_vpn_tunnel,6,0,23,2,31
google_compute_wire_group,1,0,0,1,16
google_contact_center_insights_analysis_rule,0,0,0,1,16
google_contact_center_insights_view,0,0,0,1,0
google_container_analysis_note,0,0,1,1,5
google_container_analysis_note_iam_binding,0,0,1,0,2
google_container_analysis_note_iam_member,1,0,0,0,1
google_container_analysis_note_iam_policy,1,0,0,0,0
google_container_analysis_occurrence,0,0,0,1,3
google_container_attached_cluster,1,0,0,2,25
google_container_cluster,62,27,2,10,340
google_container_node_pool,16,9,2,2,138
google_container_registry,1,0,0,1,0
google_data_catalog_entry,1,0,0,0,11
google_data_catalog_entry_group,0,0,0,2,0
google_data_catalog_entry_group_iam_binding,0,0,1,0,2
