resource,score,nested_weight,non_nested_weight,tier,LikelyBreaking,provenance,product,is_iam,Representation,NullEmpty,Ordering,CustomizeDiff,NestedBlock,Required,Optional,Optional+Computed,Computed-only
google_bigquery_analytics_hub_data_exchange_iam_policy,1.20,0.00,1.20,D,false,Generated,bigqueryanalyticshub,true,1,0,0,0,0,1,0,0,0
google_bigquery_analytics_hub_data_exchange_subscription,14.65,4.00,10.65,A,true,Generated,bigqueryanalyticshub,false,7,0,0,1,7,9,4,0,2
google_bigquery_analytics_hub_listing,21.05,6.00,15.05,A,true,Generated,bigqueryanalyticshub,false,10,0,2,1,13,4,19,0,3
google_bigquery_analytics_hub_listing_iam_binding,1.10,0.00,1.10,D,true,Generated,bigqueryanalyticshub,true,0,0,1,0,2,2,1,0,0
google_bigquery_analytics_hub_listing_iam_member,1.20,0.00,1.20,D,true,Generated,bigqueryanalyticshub,true,1,0,0,0,1,1,1,0,0
google_bigquery_analytics_hub_listing_iam_policy,1.20,0.00,1.20,D,false,Generated,bigqueryanalyticshub,true,1,0,0,0,0,1,0,0,0
google_bigquery_analytics_hub_listing_subscription,15.85,10.00,5.85,A,true,Generated,bigqueryanalyticshub,false,3,0,0,1,10,6,3,0,5
google_bigquery_bi_reservation,2.25,0.00,2.25,C,true,Generated,bigqueryreservation,false,0,0,0,1,1,0,2,0,0
google_bigquery_capacity_commitment,4.45,0.00,4.45,C,false,Generated,bigqueryreservation,false,2,0,0,1,0,1,2,0,0
google_bigquery_connection,2.25,0.00,2.25,A,true,Generated,bigqueryconnection,false,0,0,0,1,14,4,11,0,0
google_bigquery_connection_iam_binding,1.10,0.00,1.10,D,true,Generated,bigqueryconnection,true,0,0,1,0,2,2,1,0,0
google_bigquery_connection_iam_member,1.20,0.00,1.20,D,true,Generated,bigqueryconnection,true,1,0,0,0,1,1,1,0,0
google_bigquery_connection_iam_policy,1.20,0.00,1.20,D,false,Generated,bigqueryconnection,true,1,0,0,0,0,1,0,0,0
google_bigquery_data_transfer_config,6.75,0.00,6.75,A,true,Generated,bigquerydatatransfer,false,0,0,0,3,5,1,7,0,0
google_bigquery_datapolicy_data_policy,5.45,0.00,5.45,C,true,Generated,bigquerydatapolicy,false,3,0,0,1,1,1,4,0,0
google_bigquery_datapolicy_data_policy_iam_binding,1.10,0.00,1.10,D,true,Generated,bigquerydatapolicy,true,0,0,1,0,2,2,1,0,0
google_bigquery_datapolicy_data_policy_iam_member,1.20,0.00,1.20,D,true,Generated,bigquerydatapolicy,true,1,0,0,0,1,1,1,0,0
google_bigquery_datapolicy_data_policy_iam_policy,1.20,0.00,1.20,D,false,Generated,bigquerydatapolicy,true,1,0,0,0,0,1,0,0,0
google_bigquery_datapolicyv2_data_policy,6.25,2.00,4.25,C,true,Generated,bigquerydatapolicyv2,false,2,0,0,1,2,0,4,1,0
google_bigquery_datapolicyv2_data_policy_iam_binding,1.10,0.00,1.10,D,true,Generated,bigquerydatapolicyv2,true,0,0,1,0,2,2,1,0,0
google_bigquery_datapolicyv2_data_policy_iam_member,1.20,0.00,1.20,D,true,Generated,bigquerydatapolicyv2,true,1,0,0,0,1,1,1,0,0
google_bigquery_datapolicyv2_data_policy_iam_policy,1.20,0.00,1.20,D,false,Generated,bigquerydatapolicyv2,true,1,0,0,0,0,1,0,0,0
google_bigquery_dataset,12.70,6.00,6.70,A,true,Generated,bigquery,false,1,0,1,2,24,6,18,2,2
google_bigquery_dataset_access,8.25,0.00,8.25,A,true,Generated,bigquery,false,6,0,0,1,8,4,11,0,0
google_bigquery_dataset_iam_binding,1.10,0.00,1.10,D,true,HandwrittenIAM,bigquery,true,0,0,1,0,2,2,1,0,0
google_bigquery_dataset_iam_member,1.20,0.00,1.20,D,true,HandwrittenIAM,bigquery,true,1,0,0,0,1,1,1,0,0
google_bigquery_dataset_iam_policy,1.20,0.00,1.20,D,false,HandwrittenIAM,bigquery,true,1,0,0,0,0,1,0,0,0
google_bigquery_job,44.10,18.00,26.10,A,true,Generated,bigquery,false,18,0,0,2,52,26,37,2,7
google_bigquery_reservation,8.25,6.00,2.25,C,true,Generated,bigqueryreservation,false,0,0,0,1,4,0,2,0,3
google_bigquery_reservation_assignment,4.65,0.00,4.65,C,false,Generated,bigqueryreservation,false,2,0,0,1,0,2,1,0,0
google_bigquery_routine,30.25,24.00,6.25,A,true,Generated,bigquery,false,4,0,0,1,16,0,9,12,0
google_bigquery_row_access_policy,2.25,0.00,2.25,C,true,Generated,bigquery,false,0,0,0,1,1,0,2,0,0
google_bigquery_table,21.55,4.00,17.55,A,true,Handwritten,bigquery,false,10,0,0,3,66,15,58,4,2
